,Unnamed: 0,month,var8,var6,a.1,a.2,a.3,a.4,var5,b.5,b.7,b.8,b.9,b.12,b.15,b.16,b.17,b.18,b.19,b.22,c.29,c.30,var7,c.32,c.38,c.47,c.48,c.57,c.58,c.59,b.63,c.77,c.92,c.93,d.94,e.95,e.96,e.97,e.98,e.99,e.100,e.101,f.102,f.103,f.104,a.124,var3,var4,c.125,c.126,t7.158,c.159,c.160,c.161,c.162,c.163,c.164,c.165,c.166,c.167,c.168,c.169,c.170,c.171,c.172,t7.173,t7.174,t7.175,t7.176,t7.177,t7.178,t7.179,t7.180,t7.181,t7.182,a.186,var2,totshopping.rep,var1,c.187,f.188,c.189,var0,f.284,pov6
22,112,1,1.0,0.0,1,4,1,96,35,1,1,1.0,1,1,3,3,3.0,3.0,4,14,1,1,1,1,2,458.65,4.0,250.0,150.0,150.0,2,279.0,4.0,2,7,1,1,1,3,2,1,2.0,1,2,5,6.24,299294.77,4.0,279.0,2,69.75,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,70.89,69.75,0.0,1,2,2,1.0,2,2.0,1
23,117,1,1.0,0.0,1,5,1,3,2,2,1,1.0,1,1,3,3,3.0,3.0,4,14,2,2,2,2,1,450.0,2.0,300.0,75.0,75.0,2,0.0,0.0,0,7,2,2,1,1,1,1,2.0,2,2,2,3.62,8619300.21,0.0,0.0,2,0.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,62.34,0.0,0.0,1,2,1,1.0,2,4.0,1
24,119,1,1.0,0.0,1,9,1,25,29,2,2,0.0,1,1,0,0,0.5,0.5,1,102,1,1,1,2,2,0.0,0.0,0.0,0.0,0.0,2,32.63,1.0,2,6,4,4,4,4,4,4,0.0,2,2,11,3.4,144297193.5,1.0,32.63,2,33.0,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,192.83,32.63,0.0,4,4,2,11.0,18,2.0,2
25,122,1,1.0,0.0,1,4,1,120,15,1,1,4.0,1,1,3,3,3.0,3.0,4,14,2,2,2,2,1,870.0,2.0,200.0,30.0,30.0,2,0.0,0.0,0,5,2,2,1,1,1,1,2.0,1,1,3,3.35,587198.7,0.0,0.0,2,0.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,34.13,0.0,0.0,2,2,1,1.0,2,3.0,1
26,128,1,1.0,0.0,1,10,1,25,29,2,2,0.0,1,2,0,0,0.5,0.5,1,102,1,1,1,2,2,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0,6,4,4,4,4,4,4,0.0,2,2,11,3.4,144297193.5,0.0,0.0,2,0.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,192.83,0.0,0.0,4,4,2,11.0,18,1.0,2
27,131,1,1.0,0.0,1,10,1,44,21,2,1,1.0,2,2,10,10,10.0,10.0,9,31,2,2,2,2,2,0.0,0.0,120.0,40.0,40.0,2,50.0,1.0,2,7,2,2,1,3,2,1,2.0,2,2,9,6.01,6300175.81,1.0,50.0,2,50.0,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,41.86,50.0,0.0,1,2,1,7.0,14,2.0,1
28,133,1,3.0,0.0,1,9,1,16,17,2,1,1.0,1,2,3,3,3.0,3.0,4,14,2,2,2,2,1,1100.0,2.0,400.0,80.0,80.0,2,200.0,2.0,2,6,2,2,1,1,1,2,2.0,1,2,2,3.52,3744975.54,2.0,200.0,2,100.0,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,1,24.71,100.0,0.0,1,1,1,1.0,3,3.0,1
29,141,1,3.0,0.0,1,4,1,115,28,1,1,1.0,2,2,3,3,3.0,3.0,4,14,2,2,2,2,1,1900.0,4.0,600.0,300.0,300.0,2,500.0,4.0,2,6,2,2,2,1,2,2,2.0,1,1,1,3.18,4764138.75,4.0,500.0,2,125.0,1,2,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,1,1,1,2,2,2,1,27.58,125.0,0.0,1,1,1,1.0,4,2.0,1
30,145,1,1.0,0.0,1,5,1,3,2,1,1,1.0,2,1,6,6,6.0,6.0,7,14,2,2,2,2,2,0.0,0.0,100.0,60.0,60.0,2,0.0,0.0,0,7,2,2,1,1,1,1,1.0,1,1,1,3.62,8619300.21,0.0,0.0,2,0.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,62.34,0.0,0.0,1,2,1,7.0,14,3.0,1
31,153,1,1.0,0.0,1,7,1,25,2,2,1,1.0,1,1,4,4,4.0,4.0,5,31,2,2,2,2,2,0.0,0.0,200.0,10.0,10.0,2,60.0,1.0,2,6,2,2,1,1,2,1,1.0,2,2,1,3.62,8619300.21,1.0,60.0,2,60.0,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,62.34,60.0,0.0,1,2,1,7.0,14,4.0,1
32,165,1,1.0,0.0,1,10,1,7,48,2,1,1.0,2,2,3,3,3.0,3.0,4,14,2,2,2,2,1,400.0,2.0,300.0,60.0,60.0,2,30.0,2.0,2,7,2,2,1,2,1,2,2.0,1,2,8,3.35,7283128.88,2.0,30.0,2,15.0,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,28.26,15.0,0.0,1,2,1,1.0,1,3.0,1
33,166,1,1.0,0.0,1,12,1,16,17,2,1,1.0,2,1,8,8,8.0,8.0,9,31,2,2,2,2,2,0.0,0.0,40.0,0.0,0.0,2,180.0,1.0,2,7,2,2,1,1,1,1,1.0,1,4,11,3.52,3744975.54,1.0,180.0,2,180.0,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,24.71,180.0,0.0,1,2,1,7.0,14,1.0,1
34,169,1,1.0,0.0,1,6,1,57,34,1,1,4.0,1,1,5,5,5.0,5.0,6,14,2,2,2,2,1,1400.0,3.0,200.0,100.0,100.0,2,150.0,1.0,2,5,2,2,2,1,2,2,2.0,1,2,2,7.04,6004575.0,1.0,150.0,2,150.0,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,26.7,150.0,0.0,2,2,1,1.0,2,1.0,1
35,172,1,1.0,0.0,1,5,1,3,30,2,1,4.0,1,2,1,1,1.0,1.0,2,97,2,2,2,2,1,120.0,2.0,40.0,25.0,25.0,2,15.0,1.0,2,6,4,4,4,4,4,4,0.0,2,1,1,2.79,815049.59,1.0,15.0,2,15.0,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,5.7,15.0,0.0,2,2,1,1.0,1,4.0,1
36,176,1,1.0,0.0,1,4,1,57,34,1,1,4.0,1,1,8,8,8.0,8.0,9,14,2,2,2,2,2,1560.75,2.0,200.0,50.0,50.0,2,400.0,1.0,2,7,2,2,1,1,2,2,2.0,2,1,7,7.04,6004575.0,1.0,400.0,2,400.0,1,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,1,26.7,400.0,0.0,2,2,1,0.0,2,0.0,1
37,177,1,1.0,0.0,1,5,1,16,22,2,1,4.0,2,2,2,2,2.0,2.0,3,14,2,2,2,2,2,0.0,0.0,50.0,100.0,100.0,2,150.0,1.0,2,6,2,2,1,1,1,1,2.0,2,1,7,2.32,26886960.71,1.0,150.0,2,150.0,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,99.14,150.0,0.0,2,2,1,7.0,14,4.0,1
38,182,1,1.0,0.0,1,12,1,25,29,2,1,1.0,2,2,11,11,11.0,11.0,10,31,2,2,2,2,2,0.0,0.0,10.0,12.0,12.0,2,60.0,1.0,2,7,1,2,2,2,3,2,2.0,2,2,9,3.4,144297193.5,1.0,60.0,2,60.0,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,192.83,60.0,0.0,1,2,1,7.0,14,1.0,1
39,188,1,0.0,1.0,1,3,1,91,49,1,1,4.0,1,2,0,0,0.5,0.5,1,12,1,1,1,2,2,0.0,0.0,25.0,20.0,20.0,2,0.0,0.0,0,6,2,3,1,3,2,1,1.0,1,1,1,2.96,781812.49,0.0,0.0,2,0.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,33.9,0.0,0.0,2,2,2,12.0,19,2.0,2
40,191,1,0.0,2.0,1,4,1,58,20,2,1,4.0,2,2,1,1,1.0,1.0,2,14,2,2,2,2,1,40.0,2.0,40.0,20.0,20.0,2,50.0,1.0,2,7,2,2,2,2,2,2,1.0,1,1,1,2.42,70925050.43,1.0,50.0,2,50.0,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,100.7,50.0,0.0,2,2,1,3.0,10,2.0,1
41,206,1,2.0,0.0,1,4,1,57,34,2,3,0.0,1,2,2,2,2.0,2.0,3,12,1,1,1,1,2,354.79,2.0,15.0,0.0,0.0,2,65.0,2.0,2,6,1,1,1,3,2,1,2.0,2,2,1,7.04,6004575.0,2.0,65.0,2,32.5,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,26.7,32.5,0.0,4,4,3,1.0,2,3.0,1
42,211,1,1.0,0.0,1,5,1,82,45,1,2,0.0,1,1,4,4,4.0,4.0,5,14,2,2,2,2,1,600.0,3.0,200.0,40.0,40.0,2,450.0,3.0,2,5,2,2,1,1,1,1,2.0,2,1,2,4.06,143346.63,3.0,450.0,2,150.0,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,1,66.43,150.0,0.0,4,4,1,1.0,2,2.0,1
43,214,1,1.0,0.0,1,4,1,35,10,2,1,4.0,1,1,4,4,4.0,4.0,5,14,2,2,2,2,1,210.0,2.0,160.0,20.0,20.0,2,0.0,0.0,0,7,2,2,1,2,1,1,2.0,2,2,2,3.75,609885.29,0.0,0.0,2,0.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,29.7,0.0,0.0,2,2,1,3.0,10,2.0,1
44,215,1,1.0,0.0,1,10,1,16,17,2,1,1.0,1,1,4,4,4.0,4.0,5,31,2,2,2,2,1,1900.0,1.0,200.0,20.0,20.0,2,1000.0,1.0,1,6,3,2,1,1,2,1,1.0,1,1,1,3.52,3744975.54,1.0,1000.0,2,1000.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,24.71,1000.0,0.0,1,1,1,1.0,3,5.0,1
45,216,1,1.0,0.0,1,12,1,16,20,2,1,4.0,2,2,1,1,1.0,1.0,2,45,2,2,3,2,1,400.0,2.0,600.0,100.0,100.0,2,200.0,2.0,2,5,4,4,4,4,4,4,0.0,1,2,6,2.91,70925050.43,2.0,200.0,2,100.0,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,100.7,100.0,0.0,2,2,1,1.0,3,2.0,1
46,249,1,1.0,0.0,1,5,1,7,42,2,1,1.0,2,1,3,3,3.0,3.0,4,14,2,2,2,2,2,0.0,0.0,600.0,150.0,150.0,2,0.0,0.0,0,6,2,2,1,1,1,1,1.0,2,1,3,5.82,1335537.35,0.0,0.0,2,0.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,74.75,0.0,0.0,1,2,1,7.0,14,2.0,1
47,251,1,1.0,0.0,1,5,1,106,13,1,1,4.0,1,1,4,4,4.0,4.0,5,14,2,2,2,2,1,1600.0,2.0,520.0,100.0,100.0,2,50.0,1.0,2,7,2,2,1,1,2,1,2.0,1,1,1,3.74,4289628.18,1.0,50.0,2,50.0,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,189.3,50.0,0.0,2,1,1,1.0,4,2.0,1
48,252,1,1.0,0.0,1,4,1,25,30,1,1,4.0,2,2,3,3,3.0,3.0,4,14,2,2,2,2,1,1200.0,1.0,200.0,60.0,60.0,2,150.0,1.0,2,6,2,2,1,1,1,1,1.0,2,1,3,2.79,815049.59,1.0,150.0,2,150.0,1,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,1,5.7,150.0,0.0,2,1,1,1.0,4,1.0,1
